"%1 account connected successfully.","Konto %1 zostało pomyślnie połączone."
"%1 account disconnected successfully.","Konto %1 zostało pomyślnie rozłączone."
"Action","Akcja"
"or","lub"
"Sign in with %1","Zaloguj się przez %1"
"An account with this email already exists. Please log in.","Konto z tym adresem e-mail już istnieje. Zaloguj się."
"An error occurred while creating your account. Please try again.","Wystąpił błąd podczas tworzenia konta. Spróbuj ponownie."
"Complete Your Registration","Uzupełnij rejestrację"
"Confirm Password","Potwierdź hasło"
"Connect","Połącz"
"Connected","Połączone"
"Could not connect %1 account. Please try again.","Nie udało się połączyć konta %1. Spróbuj ponownie."
"Could not disconnect %1 account. Please try again.","Nie udało się rozłączyć konta %1. Spróbuj ponownie."
"Could not sign in with %1. Please try again or use a different method.","Nie udało się zalogować przez %1. Spróbuj ponownie lub użyj innej metody."
"Create Account","Utwórz konto"
"Disconnect","Rozłącz"
"Disconnect %1?","Rozłączyć %1?"
"Email","E-mail"
"First Name","Imię"
"First name is required.","Imię jest wymagane."
"Invalid form key. Please reload the page and try again.","Nieprawidłowy klucz formularza. Odśwież stronę i spróbuj ponownie."
"Invalid request.","Nieprawidłowe żądanie."
"Invalid social network provider.","Nieprawidłowy dostawca logowania społecznościowego."
"Last Name","Nazwisko"
"Last name is required.","Nazwisko jest wymagane."
"No %1 account connected.","Brak połączonego konta %1."
"No social login providers are currently enabled.","Brak aktywnych dostawców logowania społecznościowego."
"Not connected","Niepołączone"
"Password","Hasło"
"Password and password confirmation do not match.","Hasło i potwierdzenie hasła nie są zgodne."
"Password must be at least 8 characters long.","Hasło musi mieć co najmniej 8 znaków."
"Provider","Dostawca"
"Social Login","Logowanie społecznościowe"
"Social Login Connections","Logowanie społecznościowe"
"Status","Status"
"This %1 account is already connected to another customer.","To konto %1 jest już połączone z innym klientem."
"We need a few more details to create your account.","Potrzebujemy kilku dodatkowych informacji, aby utworzyć Twoje konto."
"You can use this password to sign in with email and password in the future.","Możesz użyć tego hasła do logowania e-mailem i hasłem w przyszłości."
